variable,field,mae,rmse,bias,corr_with_hr
thetao,lr,0.44260865449905396,2.115581750869751,-0.17594802379608154,0.9833316995869082
thetao,mu_cno,0.2275884449481964,0.38781043887138367,-0.0015727722784504294,0.9994367855609592
thetao,pred_cno_fm,0.4900987446308136,0.8131818771362305,-0.022812047973275185,0.9975625003243074
thetao,fm_residual_vs_target,0.4900987446308136,0.8131818771362305,-0.022812047973275185,0.07078224255554305
so,lr,0.9999469518661499,5.4011688232421875,-0.8956873416900635,0.4619190372264689
so,mu_cno,0.1091640517115593,0.2507837414741516,-0.0007070467690937221,0.9939704728879959
so,pred_cno_fm,0.24382109940052032,0.7793952822685242,-0.011478307656943798,0.95080872513755
so,fm_residual_vs_target,0.24382109940052032,0.7793952822685242,-0.011478309519588947,0.046516358309078354
zos,lr,0.04147808253765106,0.13000619411468506,0.010054519400000572,0.9831164799740828
zos,mu_cno,0.011967016384005547,0.020649848505854607,3.162823122693226e-05,0.9995749657977588
zos,pred_cno_fm,0.02703852765262127,0.04545264318585396,0.0017883691471070051,0.9979785553728164
zos,fm_residual_vs_target,0.02703852765262127,0.04545264318585396,0.0017883691471070051,0.04057916094205129
uo,lr,0.06415903568267822,0.10329332202672958,0.0002037476806435734,0.8442795908246766
uo,mu_cno,0.04213879257440567,0.06561074405908585,-0.0006829783087596297,0.9385332778690612
uo,pred_cno_fm,0.05826153606176376,0.08798272907733917,0.0010767299681901932,0.8908152206233811
uo,fm_residual_vs_target,0.05826153606176376,0.08798272907733917,0.0010767299681901932,0.008793556425333039
vo,lr,0.059084467589855194,0.09730380028486252,-0.00010834471322596073,0.7738341888722606
vo,mu_cno,0.0380813293159008,0.05959831550717354,-5.7234661653637886e-05,0.9170568626680299
vo,pred_cno_fm,0.05249087139964104,0.07969985902309418,-0.0006579544860869646,0.8546907216358053
vo,fm_residual_vs_target,0.052490875124931335,0.07969985902309418,-0.0006579546025022864,0.010038352913652699
