variable,field,mae,rmse,bias,corr_with_hr
thetao,lr,0.44260865449905396,2.115581750869751,-0.17594802379608154,0.9833316995869082
thetao,mu_cno,0.2275884449481964,0.38781043887138367,-0.0015727722784504294,0.9994367855609592
thetao,pred_cno_fm,0.7642171382904053,1.0955039262771606,0.10843070596456528,0.9955935768710482
thetao,fm_residual_vs_target,0.7642171382904053,1.0955039262771606,0.10843070596456528,0.05551069917403531
so,lr,0.9999469518661499,5.4011688232421875,-0.8956873416900635,0.4619190372264689
so,mu_cno,0.1091640517115593,0.2507837414741516,-0.0007070467690937221,0.9939704728879959
so,pred_cno_fm,0.6424759030342102,1.038304090499878,0.505744993686676,0.9307369204830158
so,fm_residual_vs_target,0.6424759030342102,1.038304090499878,0.505744993686676,0.06799802605945254
zos,lr,0.04147808253765106,0.13000619411468506,0.010054519400000572,0.9831164799740828
zos,mu_cno,0.011967016384005547,0.020649848505854607,3.162823122693226e-05,0.9995749657977588
zos,pred_cno_fm,0.04431284964084625,0.0631704106926918,-0.006708087399601936,0.9962346091639543
zos,fm_residual_vs_target,0.04431284964084625,0.0631704032421112,-0.006708087399601936,0.023341755416492384
uo,lr,0.06415903568267822,0.10329332202672958,0.0002037476806435734,0.8442795908246766
uo,mu_cno,0.04213879257440567,0.06561074405908585,-0.0006829783087596297,0.9385332778690612
uo,pred_cno_fm,0.06592606008052826,0.09217323362827301,-0.010389606468379498,0.8812256496379027
uo,fm_residual_vs_target,0.06592606008052826,0.09217323362827301,-0.010389606468379498,0.01243236997798694
vo,lr,0.059084467589855194,0.09730380028486252,-0.00010834471322596073,0.7738341888722606
vo,mu_cno,0.0380813293159008,0.05959831550717354,-5.7234661653637886e-05,0.9170568626680299
vo,pred_cno_fm,0.059993159025907516,0.08465177565813065,0.004967125132679939,0.8363807631984882
vo,fm_residual_vs_target,0.059993159025907516,0.08465177565813065,0.004967125132679939,0.011489182904965789
